Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1967
Base Time Seconds,1739885885
Base Time Fractional,.112630800
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.540040592496e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728865948,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.112630800
2,1.509733896623e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002742619254,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.181988820
3,1.360537585771e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002673844865,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.251313640
4,1.509736015841e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002742621291,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.320628520
5,1.483226753331e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728866821,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.389951100
6,1.462360220741e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002797640627,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.459277260
7,1.52876889513e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002742620418,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.528600560
8,1.412030860076e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002701355552,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.597932580
9,1.494592315399e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002715110895,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.667258480
10,1.483225425648e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728865657,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.736586540
11,1.419223192812e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002715112932,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.805932080
12,1.367540327874e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002687603410,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.875259220
13,1.50216362748e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728865657,Volt DC,10,F,2W,F,F,02/18/2025,13:38:05,.944572640
14,1.502164245724e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728866239,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.013911780
15,1.39046310152e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002660092432,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.083239940
16,1.566836945253e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002742621000,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.152568580
17,1.490702608504e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002742621582,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.221908840
18,1.434764682387e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002673846320,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.291231440
19,1.558980255624e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728867112,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.360557620
20,1.449527345786e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002701357298,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.429889540
21,1.516752688317e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002687601082,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.499210480
22,1.483931343406e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002838906948,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.568526560
23,1.367539051094e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002687602246,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.637850960
24,1.445349727383e-08,Watt DC,10,5.5,F,F,F,F,F,F,Front,F,Main,-0.0002728866239,Volt DC,10,F,2W,F,F,02/18/2025,13:38:06,.707165480
